Registration Number,Operator,Airframe Report Date,Airframe Hours,Airframe Landings,ATA and Code,Tracked By Equipment,Equipment Hours,Equipment Cycles,Equipment Landings,Equipment RIN,Item Type,Requirement Type,Disposition,Group,Description,Reference,Part Number,Serial Number,Work Order,Scheduled,Estimated Work Hours,Notes,Compliance Date,Compliance Hours,Compliance Landings,Compliance Cycles,Compliance RIN,Interval Days,Interval Months,Interval Hours,Interval Landings,Interval Cycles,Interval RIN,Tolerance Months,Tolerance Days,Tolerance Hours,Tolerance Landings,Tolerance Cycles,Tolerance RIN,Next Due Date,Max Next Due Date,Next Due Hours,Max Next Due Hours,Next Due Landings,Max Next Due Landings,Next Due Cycles,Max Next Due Cycles,Next Due RIN,Max Next Due RIN,Remaining Days,Max Remaining Days,Remaining Months,Max Remaining Months,Remaining Hours,Max Remaining Hours ,Remaining Landings,Max Remaining Landings,Remaining Cycles,Max Remaining Cycles,Remaining RIN,Max Remaining RIN,Is Optional,Next Due Status,Aircraft Grounded,Estimated Due Date,Months Since New,Months Since Overhaul,Months Since Repair,Hours Since New,Hours Since Overhaul,Hours Since Repair,Landings Since New,Landings Since Overhaul,Landings Since Repair,Tags,SalesForce Case Number
N407CH,CLASSIC AIR MEDICAL,03/07/2026,17372.50,1,70,Airframe,17372.50,0.00,1,43114.00,DISCREPANCY,,,,Upon attempting to shutdown the engine did not turn off as normal when the throttle was rolled to the off position. In addition a loud unusual rumble was heard. The engine seemed to hang for a few seconds before shutting down.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,03/08/2026,,,,,,,,,,,
N407CN,CLASSIC AIR MEDICAL,02/02/2026,4850.80,0,34 GARMIN,Airframe,4850.80,0.00,0,11489.00,INSPECTION,,,,28 DAY GPS NAVIGATION DATABASE UPDATE,Garmin GTN650 and G500H Pilot User  Guide,,,,,,,01/20/2026,4842.20,,,11477.00,28,0,,0,0.00,0.00,0,5,,0,0.00,0.00,02/19/2026,,,,,,,,,,-17,,0,,,,,,,,,,No,Past Due,,02/19/2026,,,,,,,,,,,
N407CN,CLASSIC AIR MEDICAL,02/02/2026,4850.80,0,25 00-51,Airframe,4850.80,0.00,0,11489.00,INSPECTION,,ICA,,30 DAY ARTEX ELT FUNCTIONAL CHECK,ARTEX MANUAL 570-5060 REV. AA,,,,,,"REF. ARTEX MANUAL 570-5060 REV. AA, PAGE 25 (E), AND PAGE 38 (Q).",01/29/2026,4846.00,,,11482.00,30,0,,0,0.00,0.00,0,0,,0,0.00,0.00,02/28/2026,,,,,,,,,,-8,,0,,,,,,,,,,No,Past Due,,02/28/2026,,,,,,,,,,,
N407CN,CLASSIC AIR MEDICAL,02/02/2026,4850.80,0,26 01-01,Airframe,4850.80,0.00,0,11489.00,INSPECTION,,INSPECT,,30 DAY FIRE EXTINGUISHER INSPECTION,NFPA 10 Ch. 7.2,,,,,,,01/29/2026,4846.00,,,11482.00,30,,,,,,,,,,,,02/28/2026,,,,,,,,,,-8,,0,,,,,,,,,,No,Past Due,,02/28/2026,,,,,,,,,,Ramp Check; Pilots,
N407CN,CLASSIC AIR MEDICAL,02/02/2026,4850.80,0,34 GARMIN GTS800 24M,Airframe,4850.80,0.00,0,11489.00,INSPECTION,,ICA,,24 MONTH GTS800 TAS AND ANTENNAS INSPECTION,GARMIN 190-00993-01 REV. 3,,,,,,,02/26/2024,4351.40,,,10374.00,,24,,,,,,,,,,,02/28/2026,,,,,,,,,,-8,,0,,,,,,,,,,No,Past Due,,02/28/2026,,,,,,,,,,,
N407LP,CLASSIC AIR MEDICAL,03/08/2026,4111.30,0,05 SI/ T/R D/S DISC PACK TQ CK,Airframe,4111.30,0.00,0,10540.00,INSPECTION,,,TFC,"SPECIAL INSPECTIONS- TORQUE/FRICTION CHECK - (10 TO 25) HOURS AFTER INITIAL INSTALLATION OR REMOVAL AND RE-INSTALLATION, FWD AND AFT SHORT SHAFTS, TAIL ROTOR DRIVESHAFT DISC PACK COUPLINGS TORQUE CHECK","BHT-407-MPI, Chapter 5, Special Insp, Table 1.",,,,,,,02/28/2026,4097.90,,,10505.00,0,0,10.00,0,0.00,0.00,0,0,,0,0.00,0.00,,,4107.90,,,,,,,,,,,,-3.40,,,,,,,,No,Past Due,,03/06/2026,,,,,,,,,,Torque Check,
N407FC,CLASSIC AIR MEDICAL,02/06/2026,14611.70,0,05 300HR- PERIODIC INSPECTION,Airframe,14611.70,0.00,0,32298.00,INSPECTION,,INSPECT,,300 HOUR /12 MONTH PERIODIC AIRFRAME INSPECTION,DMC-407-A-05-40-00-06A-281A-A,,,HSU WO6832,"Monday, February 9, 2026",45.00,"1. Do this inspection every 12 calendar months or every 300 hours of operation. 2. Do all six events of the airframe progressive inspection. Ref. DMC-407-A-05-40-00-06A-281A-A, Complete all 6 Progressive Inspection Events: DMC-407-A-05-40-00-00A-281A-A, DMC-407-A-05-40-00-01A-281A-A,DMC-407-A-05-40-00-02A-281A-A, DMC-407-A-05-40-00-03A-281A-A, DMC-407-A-05-40-00-04A-281A-A, DMC-407-A-05-40-00-05A-281A-A.",07/16/2025,14296.40,,,31622.00,,12,300.00,,,,,36,30.00,,,,07/16/2026,,14596.40,,,,,,,,8,,4,,-15.30,,,,,,,,No,Within Tolerance,,02/26/2026,,,,,,,,,,,
N39KM,CLASSIC AIR MEDICAL,03/08/2026,3284.20,0,72 INSP 50 PWR CK,Airframe,3284.20,0.00,0,7482.00,INSPECTION,,,,50 HOUR POWER CHECK (PILOT REQUIREMENT),,,,,,,,01/31/2026,3231.90,,,7351.00,,,50.00,,,,,,5.00,,,,,,3281.90,,,,,,,,,,,,-2.30,,,,,,,,No,Within Tolerance,,03/03/2026,,,,,,,,,,,
N407CZ,CLASSIC AIR MEDICAL,03/06/2026,2318.30,0,05 SI/TFC1,Airframe,2318.30,,0,5155.00,INSPECTION,,RII,TFC,"(RII)- SPECIAL INSPECTIONS- TORQUE/FRICTION CHECK -AFTER GROUND RUN- (1 TO 5) HOURS AFTER INSTALLATION, MAIN ROTOR HUB MAST NUT TORQUE CHECK","BHT-407-MPI, Chapter 5, Special Inspections",,,,,,Torque check must be repeated every 1 to 5 hours until torque is stabilized.,03/06/2026,2318.30,,,5155.00,,,1.00,0,0.00,,,,4.00,0,0.00,,,,2319.30,,,,,,,,,,,,1.00,,,,,,,,No,Coming Due,,03/09/2026,,,,,,,,,,RII; Torque Check,
N407CZ,CLASSIC AIR MEDICAL,03/06/2026,2318.30,0,05 SI/TFC2,Airframe,2318.30,,0,5155.00,INSPECTION,,,TFC,"SPECIAL INSPECTIONS- TORQUE/FRICTION CHECK -AFTER GROUND RUN-(1 TO 5) HOURS AFTER INSTALLATION, MAIN ROTOR HUB THROUGH BOLT TORQUE CHECK","BHT-407-MPI, Chapter 5, Special Inspections",,,,,,Torque check must be repeated every 1 to 5 hours until torque is stabilized.,03/06/2026,2318.30,,,5155.00,0,0,1.00,0,0.00,0.00,0,0,4.00,0,0.00,0.00,,,2319.30,,,,,,,,,,,,1.00,,,,,,,,No,Coming Due,,03/09/2026,,,,,,,,,,Torque Check,
